#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        romuduo|  2.80e+08  |2567558515|    280017  |     269265  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.74849878|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.67439815|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.92118113|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.17172009|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.62154117|  PASSED  
        diehard_opso|   0|   2097152|     100|0.86666293|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.96589580|  PASSED  
         diehard_dna|   0|   2097152|     100|0.75988409|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.37648222|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.82784027|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.97689496|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.69198164|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.47987198|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.41140687|  PASSED  
        diehard_runs|   0|    100000|     100|0.46945128|  PASSED  
        diehard_runs|   0|    100000|     100|0.18731245|  PASSED  
       diehard_craps|   0|    200000|     100|0.66122969|  PASSED  
       diehard_craps|   0|    200000|     100|0.30815707|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.14110250|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95677177|  PASSED  
         sts_monobit|   1|    100000|     100|0.96029037|  PASSED  
            sts_runs|   2|    100000|     100|0.84086940|  PASSED  
          sts_serial|   1|    100000|     100|0.58559425|  PASSED  
          sts_serial|   2|    100000|     100|0.75837926|  PASSED  
          sts_serial|   3|    100000|     100|0.91177063|  PASSED  
          sts_serial|   3|    100000|     100|0.83000713|  PASSED  
          sts_serial|   4|    100000|     100|0.95761544|  PASSED  
          sts_serial|   4|    100000|     100|0.48928781|  PASSED  
          sts_serial|   5|    100000|     100|0.03926821|  PASSED  
          sts_serial|   5|    100000|     100|0.01878604|  PASSED  
          sts_serial|   6|    100000|     100|0.22178825|  PASSED  
          sts_serial|   6|    100000|     100|0.86043438|  PASSED  
          sts_serial|   7|    100000|     100|0.44630815|  PASSED  
          sts_serial|   7|    100000|     100|0.07918861|  PASSED  
          sts_serial|   8|    100000|     100|0.15874019|  PASSED  
          sts_serial|   8|    100000|     100|0.73495832|  PASSED  
          sts_serial|   9|    100000|     100|0.68410268|  PASSED  
          sts_serial|   9|    100000|     100|0.31939313|  PASSED  
          sts_serial|  10|    100000|     100|0.56800271|  PASSED  
          sts_serial|  10|    100000|     100|0.49275972|  PASSED  
          sts_serial|  11|    100000|     100|0.99541149|   WEAK   
          sts_serial|  11|    100000|     100|0.14707212|  PASSED  
          sts_serial|  12|    100000|     100|0.23904378|  PASSED  
          sts_serial|  12|    100000|     100|0.37076117|  PASSED  
          sts_serial|  13|    100000|     100|0.99959466|   WEAK   
          sts_serial|  13|    100000|     100|0.65443125|  PASSED  
